query_id,question_number,question,model,failure_category,failure_evidence,secondary_category
MORTAR_002,,"Which devices include points that set the air temperature in a zone, and what are those points?",lbl/cborg-coder,Misunderstanding User Intent,"The ground‑truth query simply finds Equipment that has a point of type brick:Zone_Air_Temperature_Setpoint. The generated query adds many unnecessary constraints: it restricts devices to brick:HVAC_Equipment, uses the generic class brick:Temperature_Setpoint, attempts to locate a zone via ?point brick:hasLocation ?zone, and even filters on the point label containing the word ""air"". These additions indicate the model mis‑interpreted the user's request and introduced extra logic that was not asked for.",Topological Mismatch
MORTAR_002,,Which HVAC components provide setpoints for regulating zone air temperature and what are those setpoints called?,lbl/cborg-coder,Misunderstanding User Intent,"The generated query adds a filter '?component a brick:VAV' which restricts results to VAVs only, even though the user asked for all HVAC components that provide zone air temperature setpoints. The ground‑truth query does not impose any equipment type restriction and uses a subclass traversal to capture any setpoint class. This demonstrates the model misinterpreting the question by assuming the relevant components are VAVs.",
MORTAR_002,,What are the target temperatures for each zone and which devices supply these targets?,lbl/cborg-coder,Topological Mismatch,The generated query assumes a direct relationship `?zone brick:hasPoint ?tempSetpoint` (zone → temperature setpoint) and then finds a device `?device brick:hasPoint ?tempSetpoint`. The ground‑truth query does not involve zones at all; it selects setpoints that are subclasses of `brick:Zone_Air_Temperature_Setpoint` and then finds equipment that `brick:hasPoint` those setpoints. This mismatch between the assumed graph topology (Zone → Setpoint) and the actual topology (Equipment → Setpoint) indicates a topological mismatch.,
MORTAR_002,,Which equipment controls the temperature settings for building zones?,lbl/cborg-coder,Topological Mismatch,"The generated query adds an OPTIONAL block that assumes each temperature setpoint is directly linked to a zone via `brick:isPointOf ?zone` and that the zone is of type `brick:HVAC_Zone`. The ground‑truth query does not require any zone relationship at all; it only traverses the subclass hierarchy of `brick:Zone_Air_Temperature_Setpoint` and links equipment via `brick:hasPoint`. By imposing an extra topological constraint (equipment → setpoint → zone of a specific class) the query fails to match the actual graph structure, resulting in zero results.",
MORTAR_003,,Find all equipment and its points that are Supply Air Temperature Sensors,lbl/cborg-coder,Topological Mismatch,"The generated query uses a direct type assertion `?sensor a brick:Supply_Air_Temperature_Sensor` and expects a direct `brick:hasPoint` relationship, whereas the ground‑truth query employs `rdf:type/rdfs:subClassOf* brick:Supply_Air_Temperature_Sensor` to capture sensors that are instances of subclasses of the target class. This reflects an incorrect assumption of a direct relationship and ignores the subclass hierarchy, a classic topological mismatch.",
MORTAR_003,,What equipment has sensors for Supply air temperature and what are they?,lbl/cborg-coder,Misunderstanding User Intent,"The generated query adds extra constraints and optional pattern that are not required by the question or the ground‑truth query, e.g., it binds ?equip a ?equipClass and filters with FILTER(CONTAINS(STR(?equipClass), ""brick"")) and retrieves optional rdfs:label values. The user only asked for equipment that has supply‑air‑temperature sensors and the sensors themselves; the extra class filter and label look‑ups indicate the model misinterpreted the intent and over‑engineered the query.",
MORTAR_003,,What are the Supply Air Temperature Sensors and the equipment they belong to?,lbl/cborg-coder,Misunderstanding User Intent,"The generated query matches sensors with the exact class `brick:Supply_Air_Temperature_Sensor` using `?sensor a brick:Supply_Air_Temperature_Sensor` and does not follow the subclass hierarchy (`rdf:type/rdfs:subClassOf*`) that the ground‑truth query uses to capture all sensors that are subclasses of the target type. Consequently, it may miss valid sensors, indicating a misinterpretation of the user’s request to retrieve *all* Supply Air Temperature Sensors and their equipment.",
MORTAR_003,,List the supply air temperature sensors and the equipment that has point to them,lbl/cborg-coder,Topological Mismatch,"The generated query uses '?sensor a brick:Supply_Air_Temperature_Sensor' which only matches instances explicitly typed as that class, whereas the ground‑truth query uses '?sp rdf:type/rdfs:subClassOf* brick:Supply_Air_Temperature_Sensor' to also capture instances of any subclass. This omission reflects an incorrect assumption about the graph topology (class hierarchy) and leads to incomplete results.",
MORTAR_003,,Which pieces of equipment include a sensor for measuring supply air temperature,lbl/cborg-coder,Topological Mismatch,"The generated query adds a direct type constraint '?equipment a brick:Equipment' and only returns equipment, whereas the ground‑truth query does not restrict equipment to a specific class and also returns the sensor variable. By assuming that equipment is directly of type brick:Equipment (instead of allowing subclasses via rdf:type/rdfs:subClassOf*), the model may miss equipment that are only typed as subclasses (e.g., Air_Handling_Unit, VAV). This mismatch of graph topology leads to an incomplete answer.",
MORTAR_003,,Which devices measure supply air temperature,lbl/cborg-coder,Vocabulary Hallucination,"The generated query uses the predicate `brick:measures` (e.g., `?sensor brick:measures brick:Supply_Air_Temperature`) and the class `brick:Temperature_Sensor`. Neither `brick:measures` nor a generic `brick:Temperature_Sensor` are defined in the Brick schema for representing supply‑air‑temperature sensors; the correct pattern is to query for subclasses of `brick:Supply_Air_Temperature_Sensor` and use relationships like `brick:hasPoint`/`brick:isPointOf`. This indicates the model invented or mis‑used ontology terms.",Misunderstanding User Intent
MORTAR_003,,What equipment monitors the supply air temperature,lbl/cborg-coder,Vocabulary Hallucination,The generated query uses non‑existent or incorrect Brick classes: it treats the equipment as a brick:Temperature_Sensor (whereas the equipment should be any device that has a point) and it looks for a point of type brick:Supply_Air_Temperature (the correct class in Brick is brick:Supply_Air_Temperature_Sensor). The ground‑truth query correctly uses brick:Supply_Air_Temperature_Sensor (or its subclasses) for the point and does not impose an incorrect type on the equipment.,Topological Mismatch
MORTAR_003,,Where in the system is supply air temperature measured,lbl/cborg-coder,Topological Mismatch,"The generated query assumes a direct relationship between the temperature sensor and its location using `brick:hasLocation` and selects the sensor itself, while the ground‑truth query discovers the equipment that *has* the supply‑air temperature point via `brick:hasPoint`. The model ignored the required intermediate `hasPoint` edge and the need to traverse subclass hierarchy (`rdf:type/rdfs:subClassOf*`). This mismatch of graph topology leads to an incorrect answer.",
MORTAR_004,,What equipment has sensors for zone air temperature and what are they?,lbl/cborg-coder,Misunderstanding User Intent,"The generated query adds a type constraint `?equipment a brick:Equipment .` which is absent from the ground‑truth query. This unnecessary filter changes the semantics of the request, potentially omitting equipment that has the temperature sensors but is not explicitly typed as brick:Equipment, thus not faithfully answering the user's question.",
MORTAR_004,,What are the Zone Air Temperature Sensors and the equipment they belong to?,lbl/cborg-coder,Topological Mismatch,"The generated query uses a direct type assertion `?sensor a brick:Zone_Air_Temperature_Sensor` and expects a direct `?equipment brick:hasPoint ?sensor` relationship. The ground‑truth query accounts for the class hierarchy with `rdf:type/rdfs:subClassOf* brick:Zone_Air_Temperature_Sensor`, capturing sensors that are instances of subclasses of Zone_Air_Temperature_Sensor. This mismatch of assuming a direct relationship where an indirect (subclass) relationship may exist is a topological mismatch.",
MORTAR_004,,Which zone air temperature sensor instances are connected by has point to which equipment?,lbl/cborg-coder,Topological Mismatch,The generated query uses a direct type triple '?sensor a brick:Zone_Air_Temperature_Sensor .' which assumes sensors are explicitly typed with that class. The ground truth expands through the class hierarchy with '?sensor rdf:type/rdfs:subClassOf* brick:Zone_Air_Temperature_Sensor .' to capture subclass instances. This mismatch in graph topology (ignoring subclass edges) leads to missing results.,
MORTAR_004,,Which pieces of equipment include a sensor that measures the air temperature in a zone?,lbl/cborg-coder,Vocabulary Hallucination,"The generated query uses `brick:Air_Temperature_Sensor`, `brick:measures`, and `brick:isLocatedIn` which are not appropriate for the desired query. The ground‑truth uses the subclass `brick:Zone_Air_Temperature_Sensor` and does not require the extra `measures` or location predicates. These terms are either non‑existent or mis‑applied in Brick, indicating the model invented or hallucinated vocabulary.",
MORTAR_004,,What devices are fitted with zone temperature sensors and what are those sensors?,lbl/cborg-coder,Vocabulary Hallucination,"The generated query uses the class `brick:Zone_Temperature_Sensor`, which is not defined in the Brick schema. The correct class in the ground truth is `brick:Zone_Air_Temperature_Sensor`. This invented term causes the query to fail, indicating a vocabulary hallucination.",
MORTAR_004,,Where can I find the equipment that provides measurements of temperature in each zone?,lbl/cborg-coder,Misunderstanding User Intent,"The user asked for the equipment that provides temperature measurements for each zone. The generated query returns sensors and zones (using brick:Temperature_Sensor and brick:hasLocation) and never binds or returns any equipment entity, whereas the ground‑truth query retrieves equipment via brick:hasPoint linking equipment to the sensor. This shows the model interpreted the request as ""find sensors in zones"" rather than ""find equipment that has such sensors"".",
MORTAR_004,,Which devices monitor the temperature in the building zones?,lbl/cborg-coder,Misunderstanding User Intent,"The user asked for devices that monitor temperature in building zones, but the generated query selects sensors (?sensor) and zones, never retrieves any device/equipment entity. It uses `?sensor a brick:Temperature_Sensor` and `?sensor brick:hasLocation ?zone` rather than traversing from equipment to its points as in the ground‑truth (`?equipment brick:hasPoint ?sensor`). This shows the model interpreted the request as “give me the temperature sensors”, not “give me the devices that contain those sensors.”",Topological Mismatch
MORTAR_005,,Which zone air temperature sensors and setpoints are linked to the same equipment?,lbl/cborg-coder,Vocabulary Hallucination,"The generated query uses the generic classes brick:Temperature_Sensor and brick:Temperature_Setpoint, whereas the user asked for *zone air* temperature sensors and setpoints. The ground‑truth query correctly subsumes brick:Zone_Air_Temperature_Sensor and brick:Zone_Air_Temperature_Setpoint via rdfs:subClassOf*. The model’s choice of the broader terms reflects an invented (or misapplied) vocabulary that does not capture the required domain concept.",
MORTAR_005,,Find all connected pairs of Zone Air Temperature Sensors and Setpoints,lbl/cborg-coder,Topological Mismatch,"The generated query attempts to connect sensors and setpoints using direct relationships '?sensor brick:isPointOf ?zone' and '?setpoint brick:isPointOf ?zone' (or isPartOf), whereas the ground truth connects them indirectly via an equipment node with 'brick:hasPoint' (e.g., ?equip brick:hasPoint ?sensor ; ?equip brick:hasPoint ?sp). This assumption of a direct zone relationship mismatches the actual graph topology required to relate the points.",
MORTAR_005,,"Which equipment has a zone air temperature sensor and a zone air temperature setpoint, and what are the names of those sensor and setpoint points?",lbl/cborg-coder,Topological Mismatch,"The generated query assumes a direct brick:hasPoint relationship from the equipment to both the Zone_Air_Temperature_Sensor and Zone_Air_Temperature_Setpoint (e.g., `?equipment brick:hasPoint ?sensor .` and `?equipment brick:hasPoint ?setpoint .`). The ground‑truth query (and typical Brick topology) expects the points to be associated via a shared intermediate entity (e.g., a zone) or at least to respect the graph’s hierarchical structure, which the model does not explore. This direct‑link assumption can miss valid equipment where the sensor and setpoint are linked indirectly, indicating a topological mismatch.",
MORTAR_005,,"For each HVAC unit, what temperature sensor is installed and what setpoint does it have for controlling room air temperature?",lbl/cborg-coder,Vocabulary Hallucination,"The generated query uses non‑existent or incorrect Brick terms: it selects `?hvac a brick:HVAC_Equipment` (the correct class is `brick:Equipment`), it looks for `brick:Temperature_Sensor` and `brick:Temperature_Setpoint` (the appropriate classes are `brick:Zone_Air_Temperature_Sensor` and `brick:Zone_Air_Temperature_Setpoint`), and it uses the property `bf:hasPoint` instead of the standard `brick:hasPoint`. These vocabularies do not match the ground‑truth query and the Brick schema.",
MORTAR_005,,What measurement and target temperature points are associated with each device that manages zone air temperature?,lbl/cborg-coder,Vocabulary Hallucination,"The generated query uses terms that are not part of the Brick ontology, e.g., `brick:Device` as a class and the property `brick:controls`. The correct schema uses `brick:Equipment` (or its subclasses) and does not define a `controls` predicate for relating equipment to a zone air temperature instance. These invented vocabulary items lead to a query that does not match the actual graph topology.",Topological Mismatch
MORTAR_005,,"Which devices control the air temperature in building zones, and what sensors and desired values do they use?",lbl/cborg-coder,Topological Mismatch,"The generated query assumes a direct link from a controller to a zone using the predicate `brick:serves` (i.e., `?controller brick:serves ?zone . ?zone a brick:Zone`). The ground‑truth query never uses such a relationship; it connects devices to temperature sensors and setpoints via `brick:hasPoint` and relies on subclass relations of the points. This mismatch of graph topology (direct controller‑zone edge vs. indirect connection through points) leads to an incorrect query.",Vocabulary Hallucination
MORTAR_005,,How are room temperature measurements and their target values defined across the building’s equipment?,lbl/cborg-coder,Topological Mismatch,The generated query assumes a direct spatial relationship between rooms and HVAC equipment using `brick:hasLocation` and retrieves setpoints via `brick:isPointOf` and `brick:hasLocation`. The ground‑truth query instead links sensors and setpoints to equipment via `brick:hasPoint` and relies on subclass traversal (Zone_Air_Temperature_Sensor → Zone_Air_Temperature_Setpoint). This mismatch in graph topology (room → equipment → point vs. equipment → point) shows the model assumed a direct connection that does not exist in the actual data model.,Vocabulary Hallucination
MORTAR_006,,Find all sensor and setpoints connected to the same equipment,lbl/cborg-coder,Misunderstanding User Intent,"The model generated a query that forces ?equipment, ?sensor, and ?setpoint to be instances of the generic classes brick:Equipment, brick:Sensor, and brick:Setpoint, and also selects equipment labels. The ground‑truth query only requires that ?sensor and ?setpoint be (sub)classes of brick:Sensor and brick:Setpoint and that they share a brick:hasPoint relationship with the same equipment. By adding unnecessary type constraints and extra variables, the model misinterpreted the user's request, producing an over‑constrained query that does not match the intended pattern.",
MORTAR_006,,Find all related sensor and setpoints pairs,lbl/cborg-coder,Topological Mismatch,"The generated query assumes a direct relationship `?sensor brick:feeds ?setpoint`, linking a Sensor directly to a Setpoint. The ground‑truth query instead relates sensors and setpoints via a common equipment node using `brick:hasPoint` (i.e., `?equip brick:hasPoint ?sp . ?equip brick:hasPoint ?sensor`). This shows the model incorrectly presumed a direct edge that does not exist in the Brick graph.",
MORTAR_006,,Which brick sensors and brick setpoints are connected to the same equipment?,lbl/cborg-coder,Vocabulary Hallucination,"The generated query introduces a class `brick:Equipment` (e.g., `?equipment a brick:Equipment .`) which does not exist in the Brick ontology. The ground‑truth query does not require this class; it simply looks for any entity that has both a sensor and a setpoint via `brick:hasPoint`. Inventing the non‑existent `brick:Equipment` class is a clear case of using incorrect vocabulary.",
MORTAR_006,,"For each piece of equipment that has points, what sensor and what setpoint are linked to it via the has point relationship?",lbl/cborg-coder,Topological Mismatch,"The generated query uses direct type statements such as `?sensor a brick:Sensor` and `?setpoint a brick:Setpoint` (and `?equipment a brick:Equipment`) instead of the subclass‑traversal pattern `rdf:type/rdfs:subClassOf* brick:Sensor` etc. that appears in the ground‑truth query. This assumes a direct relationship where the actual graph may contain indirect type hierarchies, causing missed matches.",
MORTAR_006,,"For every device, which measurement instrument and which control value does it include?",lbl/cborg-coder,Topological Mismatch,"The generated query assumes a direct type assertion for the measurement instrument and control value (`?instrument a brick:Sensor .` and `?control a brick:Setpoint .`) and also restricts the container to `brick:Device`. The ground‑truth query uses a subclass traversal (`rdf:type/rdfs:subClassOf* brick:Sensor` and `... brick:Setpoint`) and does not limit the container to a specific class, reflecting that sensors and setpoints may be connected via indirect type relationships. This mismatch shows the model assumed direct relationships/types where the graph requires indirect (subclass) relationships.",
MORTAR_006,,Which assets combine a monitoring device with an adjustable target value?,lbl/cborg-coder,Misunderstanding User Intent,"The generated query only selects the asset (?asset) and never returns the sensor or setpoint variables, whereas the ground‑truth query returns the sensor, setpoint, and equipment (?sensor, ?sp, ?equip). This indicates the model interpreted the question as asking solely for assets, omitting the additional entities the intended answer requires.",
MORTAR_006,,What equipment units offer both sensing functionality and settable thresholds?,lbl/cborg-coder,Misunderstanding User Intent,"The user asked for equipment units that have both sensing functionality and settable thresholds. The ground‑truth query returns the equipment together with the associated sensor and setpoint variables (SELECT ?sensor ?sp ?equip). The generated query only selects the equipment (and optional label) and never binds ?sensor or ?setpoint in the SELECT clause, thus omitting part of the information the user implicitly expects. This indicates a misinterpretation of the required result shape.",
MORTAR_006,,Which devices in the system support both readings and configuration settings?,lbl/cborg-coder,Topological Mismatch,"The generated query assumes that devices are directly instances of brick:Equipment and that points are directly instances of brick:Sensor and brick:Setpoint (e.g., `?device a brick:Equipment . ?reading a brick:Sensor . ?config a brick:Setpoint`). The ground‑truth query uses subclass traversal (`rdf:type/rdfs:subClassOf* brick:Sensor`, `... brick:Setpoint`) to handle cases where sensors or setpoints are subclasses of those classes. By not accounting for the class hierarchy, the generated query will miss valid devices whose points are typed with subclasses, indicating a mismatch in the expected topological (class/subclass) relationships.",
MORTAR_007,,Which AHUs have both a Cooling Valve Command and a Heating Command point?,lbl/cborg-coder,Vocabulary Hallucination,"The generated query uses the class `brick:Cooling_Valve_Command` which does not exist in the Brick schema. The correct class is `brick:Cooling_Command` as shown in the ground truth. This invented term shows the model hallucinated vocabulary. Additionally, the query uses `brick:Heating_Command` which is valid, but the mismatch in cooling point class demonstrates the primary failure.",
MORTAR_007,,Find all AHUs with heating and cooling command points,lbl/cborg-coder,Topological Mismatch,"The generated query assumes direct type assertions (e.g., `?ahu a brick:Air_Handling_Unit .` and `?heatCmd a brick:Heating_Command .`) whereas the ground‑truth query uses subclass closure (`rdf:type/rdfs:subClassOf*`) to capture entities that are subclasses of those Brick classes. This reflects an incorrect assumption about graph topology – the model ignores indirect type relationships.",
MORTAR_007,,Which air handler units have both a cooling and heating command?,lbl/cborg-coder,Topological Mismatch,"The generated query uses direct type assertions (?ahu a brick:Air_Handling_Unit and ?coolCmd a brick:Cooling_Command, ?heatCmd a brick:Heating_Command) assuming the AHU and points are directly instances of those classes. The ground‑truth query employs rdf:type/rdfs:subClassOf* to traverse subclass hierarchies, indicating that the correct relationship is indirect via subclasses. This mismatch shows the model assumed a direct relationship that may not exist in the graph.",
MORTAR_007,,Is there any simultaneous heating and cooling fault in any of my AHUs?,lbl/cborg-coder,Misunderstanding User Intent,"The user asked whether any AHU has a simultaneous heating and cooling fault. The ground‑truth query simply checks for the presence of both a Heating_Command point and a Cooling_Command point attached to the same AHU. The generated query adds extra logic that retrieves the current values of those command points and filters for both being ""ON"" (e.g., FILTER (str(?heatVal) = ""1"" || ... )). This extra value‑checking was not part of the user intent and deviates from the expected answer, indicating a misunderstanding of what the question required.",
MORTAR_007,,"Which air handling unit has point a cooling command and has point a heating command, and what are those points?",lbl/cborg-coder,Topological Mismatch,"The generated query assumes a direct rdf:type relationship (`?ahu a brick:Air_Handling_Unit` and `?coolCmd a brick:Cooling_Command`) while the ground‑truth query uses a subclass closure (`rdf:type/rdfs:subClassOf* brick:Air_Handling_Unit` and similarly for the point classes). This mismatch means the model expects the entities to be directly instances of the classes, ignoring the possible indirect (subclass) connections present in the graph topology.",
MORTAR_007,,"Which air handling unit provides both a cooling command point and a heating command point, and what are those points?",lbl/cborg-coder,Topological Mismatch,"The generated query uses direct type assertions (`?ahu a brick:Air_Handling_Unit` and `?coolCmd a brick:Cooling_Command`, `?heatCmd a brick:Heating_Command`) and expects the AHU to have the points directly. The ground truth query uses `rdf:type/rdfs:subClassOf*` to traverse subclass hierarchies for both the AHU and the command points, reflecting that the relationships are indirect via subclassing. This mismatch between assumed direct connections and the required topological (subclass) navigation indicates a Topological Mismatch.",
MORTAR_007,,"For each air handling unit, list its cooling and heating command points.",lbl/cborg-coder,Misunderstanding User Intent,"The generated query uses OPTIONAL blocks for both cooling and heating command points, which will return AHUs even when one or both points are missing. The user asked for ""each air handling unit, list its cooling and heating command points,"" implying that both points should be present for each AHU. The ground‑truth query requires that the AHU has both a Cooling_Command and a Heating_Command (by directly binding both points), whereas the generated query does not enforce this requirement.",
MORTAR_007,,Which control points handle cooling and heating in air handling units?,lbl/cborg-coder,Misunderstanding User Intent,"The user asked for control points that handle cooling and heating in AHUs. The ground‑truth query selects points of type brick:Cooling_Command and brick:Heating_Command (or their subclasses). The generated query instead retrieves any point attached to an AHU and filters by regex on the class name (""Cooling"" or ""Heating""), which can match unrelated classes (e.g., Cooling_Temperature_Sensor) and does not enforce the specific command point semantics the user intended.",
MORTAR_007,,How can I find the temperature control setpoints for the air handling equipment?,lbl/cborg-coder,Misunderstanding User Intent,"The user asked for ""temperature control setpoints for the air handling equipment"". The ground‑truth query retrieves Cooling_Command and Heating_Command points (the actual control setpoints). The model instead generated a query that looks for points of type brick:Temperature_Setpoint, assuming the user wanted temperature setpoint data rather than the heating/cooling command points. This mismatch shows the model misinterpreted the user's intent.",
MORTAR_008,,Find all Building electrical meters and outside air temperature sensors in my building,lbl/cborg-coder,Vocabulary Hallucination,"The generated query uses the class `brick:Electrical_Meter` for building electrical meters, which does not exist in the Brick ontology; the correct class is `brick:Building_Electrical_Meter`. This invented vocabulary causes the query to miss the intended instances. The ground‑truth query correctly uses `brick:Building_Electrical_Meter` (via subclass traversal).",Topological Mismatch
MORTAR_008,,Which electric meters and OAT sensors are present in the building system?,lbl/cborg-coder,Misunderstanding User Intent,"The user asked for ""electric meters and OAT sensors are present in the building system"" expecting two separate result sets (or two columns) as shown in the ground‑truth query (SELECT ?meter ?oat ...). The model generated a UNION query with a single variable ?entity, collapsing both types into one column and therefore not matching the intended output structure. It also omitted the subclass expansion pattern (rdf:type/rdfs:subClassOf*) that the ground‑truth uses, indicating a mismatch in understanding how the result should be shaped.",
MORTAR_008,,Which meters and weather sensors are present in the building system?,lbl/cborg-coder,Vocabulary Hallucination,"The generated query uses class URIs `brick:Meter` and `brick:Weather_Sensor`, which are not defined in the Brick schema. The correct classes are `brick:Building_Electrical_Meter` and `brick:Outside_Air_Temperature_Sensor` (or their subclass hierarchies). Inventing these non‑existent classes causes the query to fail to match any data.",
MORTAR_008,,How can I compare the weather with electricity consumption?,lbl/cborg-coder,Vocabulary Hallucination,"The generated query uses Brick terms that do not exist in the schema, e.g., `brick:Weather_Temperature_Observation`, `brick:Electric_Energy_Observation`, and properties like `brick:hasTimestamp` and `brick:hasValue`. The correct Brick ontology uses classes such as `brick:Outside_Air_Temperature_Sensor` and `brick:Building_Electrical_Meter`; observation classes and value properties are not defined this way. These fabricated vocabulary items cause the query to be invalid and diverge from the ground‑truth query.",Topological Mismatch
