query_id,question_number,source,question,model,ground_truth_sparql,generated_sparql,syntax_ok,returns_results,perfect_match,gt_num_rows,gt_num_cols,gen_num_rows,gen_num_cols,arity_matching_f1,exact_match_f1,entity_set_f1,row_matching_f1,less_columns_flag,prompt_tokens,completion_tokens,total_tokens
MORTAR_002,,,What equipment has setpoints for zone air temperature and what are they?,lbl/cborg-coder,SELECT ?sp ?equip WHERE { ?sp rdf:type/rdfs:subClassOf* brick:Zone_Air_Temperature_Setpoint . ?equip brick:hasPoint ?sp },"PREFIX brick: <https://brickschema.org/schema/1.3/Brick#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
SELECT DISTINCT ?equipment ?equipmentLabel ?setpoint ?setpointValue WHERE {
  ?equipment a brick:Equipment .
  ?equipment brick:hasPoint ?setpoint .
  ?setpoint a brick:Zone_Air_Temperature_Setpoint .
  OPTIONAL { ?setpoint brick:hasValue ?setpointValue . }
  OPTIONAL { ?equipment rdfs:label ?equipmentLabel . }
}
ORDER BY ?equipmentLabel",True,False,False,221,2,0,4,0.6666666666666666,0.0,0.0,0.0,False,204,489,693
MORTAR_002,,,What are the Zone Air Temperature Setpoints and the equipment they belong to?,lbl/cborg-coder,SELECT ?sp ?equip WHERE { ?sp rdf:type/rdfs:subClassOf* brick:Zone_Air_Temperature_Setpoint . ?equip brick:hasPoint ?sp },"PREFIX brick: <https://brickschema.org/schema/1.3/Brick#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
SELECT ?setpoint ?equipment ?setpointLabel WHERE {
  ?setpoint rdf:type/rdfs:subClassOf* brick:Zone_Air_Temperature_Setpoint .
  OPTIONAL { ?setpoint rdfs:label ?setpointLabel . }
  OPTIONAL {
    { ?setpoint brick:isPointOf ?equipment . }
    UNION
    { ?equipment brick:hasPoint ?setpoint . }
  }
}
LIMIT 200",True,False,False,221,2,0,3,0.8,0.0,0.0,0.0,False,3726,2036,5762
MORTAR_002,,,Which equipment regulates the air temperature in rooms,lbl/cborg-coder,SELECT ?sp ?equip WHERE { ?sp rdf:type/rdfs:subClassOf* brick:Zone_Air_Temperature_Setpoint . ?equip brick:hasPoint ?sp },"SELECT DISTINCT ?equipment WHERE {
  ?equipment a <http://example.org/ontology/Equipment> .
  ?equipment <http://example.org/ontology/regulatesAirTemperature> true .
}",True,False,False,221,2,0,1,0.6666666666666666,0.0,0.0,0.0,True,198,389,587
MORTAR_002,,,"For each point that is a zone air temperature setpoint, which equipment has that point?",lbl/cborg-coder,SELECT ?sp ?equip WHERE { ?sp rdf:type/rdfs:subClassOf* brick:Zone_Air_Temperature_Setpoint . ?equip brick:hasPoint ?sp },"PREFIX brick: <https://brickschema.org/schema/1.3/Brick#>
SELECT ?point ?equipment WHERE {
  ?point a brick:Zone_Air_Temperature_Setpoint .
  ?equipment brick:hasPoint ?point .
}",True,False,False,221,2,0,2,1.0,0.0,0.0,0.0,False,208,356,564
MORTAR_002,,,"Which devices include points that set the air temperature in a zone, and what are those points?",lbl/cborg-coder,SELECT ?sp ?equip WHERE { ?sp rdf:type/rdfs:subClassOf* brick:Zone_Air_Temperature_Setpoint . ?equip brick:hasPoint ?sp },"PREFIX brick: <https://brickschema.org/schema/1.1/Brick#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

# Find equipment (devices) that have an Air_Temperature_Setpoint point and are located in a zone
SELECT DISTINCT ?device ?deviceLabel ?point ?pointLabel WHERE {
  # Device is an equipment entity (e.g., AHU, VAV, etc.)
  ?device a brick:Equipment .
  OPTIONAL { ?device rdfs:label ?deviceLabel }

  # Device contains a point that is an Air_Temperature_Setpoint (or subclass)
  ?device brick:hasPoint ?point .
  ?point a ?pointType .
  ?pointType rdfs:subClassOf* brick:Air_Temperature_Setpoint .
  OPTIONAL { ?point rdfs:label ?pointLabel }

  # Device is associated with a zone (optional, many devices are zone‑level)
  OPTIONAL {
    ?device brick:hasLocation ?zone .
    ?zone a brick:Zone .
  }
}
ORDER BY ?deviceLabel ?pointLabel",True,False,False,221,2,0,4,0.6666666666666666,0.0,0.0,0.0,False,12061,4503,16564
MORTAR_002,,,Which HVAC components provide setpoints for regulating zone air temperature and what are those setpoints called?,lbl/cborg-coder,SELECT ?sp ?equip WHERE { ?sp rdf:type/rdfs:subClassOf* brick:Zone_Air_Temperature_Setpoint . ?equip brick:hasPoint ?sp },"The HVAC components that provide setpoints for regulating zone‑air temperature and the names of those setpoints are:

1. **Thermostat (or room‑temperature sensor + local controller)** – *Zone Temperature Setpoint* (split into **Heating Setpoint** and **Cooling Setpoint**). This is the temperature the occupants or schedule want the zone to maintain.

2. **VAV (Variable‑Air‑Volume) box controller** – *Supply‑Air Temperature Setpoint* (sometimes called **VAV‑Box Supply‑Air Setpoint**). The VAV box regulates the temperature of the air it delivers to the zone, based on the zone setpoint.

3. **Air‑Handling Unit (AHU) / primary‑air‑side controller** – *Supply‑Air (or Primary‑Air) Temperature Setpoint* (often abbreviated **SA‑T Setpoint**). The AHU coil is commanded to achieve this temperature for the air sent to downstream VAV boxes.

4. **Boiler / heat‑pump controller (heat‑generation source)** – *Hot‑Water Supply Temperature Setpoint* (or **Heating‑Coil Supply‑Air Temperature Setpoint** when water‑fed). This is the temperature the plant must provide to heating coils to meet the downstream supply‑air setpoint.

5. **Chiller / cooling‑plant controller** – *Chilled‑Water Supply Temperature Setpoint* (or **Cooling‑Coil Supply‑Air Temperature Setpoint**). This is the temperature the plant must provide to cooling coils to meet the supply‑air setpoint.

6. **Dedicated Outdoor‑Air System (DOAS) controller** – *Outdoor‑Air Temperature Setpoint* (also called **DOAS Supply‑Air Setpoint**). The DOAS maintains a constant neutral temperature for ventilation‑only air.

7. **Building Automation System (BAS) schedule engine** – *Scheduled Setpoint* (sometimes labeled **Occupied/Unoccupied Setpoints** or **Day‑Night Setpoints**). These are time‑based values that are loaded into each thermostat.

8. **Setback/Set‑forward logic** (part of thermostat or BAS) – *Setback/Set‑forward Temperature Setpoint* (also known as **Night‑Setpoint**). Used to temporarily shift the zone temperature during unoccupied periods.

9. **Dead‑band logic** (control algorithm, not a physical device) – *Dead‑Band* (or **Temperature Gap**). The allowable temperature range between the heating and cooling setpoints to prevent rapid cycling.

**Summary of hierarchy:**
- The BAS schedule writes Occupied/Unoccupied setpoints to the thermostat.
- The thermostat compares measured zone temperature to its Heating and Cooling Setpoints and issues calls.
- The VAV box receives those calls and determines a required Supply‑Air Temperature Setpoint.
- The AHU meets the highest required Supply‑Air Temperature Setpoint by modulating its heating/cooling coils.
- The coils receive hot or chilled water at the plant‑side Hot‑Water or Chilled‑Water Supply Temperature Setpoints.
- The DOAS provides a constant Outdoor‑Air Temperature Setpoint independent of the main AHU.
- Setback/Set‑forward and Dead‑Band logic modify or constrain the zone setpoints throughout the control sequence.

These are the standard industry names for the temperature‑setpoint signals generated by each component.",False,False,False,221,2,0,0,0.0,0.0,0.0,0.0,False,2357,3130,5487
MORTAR_002,,,What are the target temperatures for each zone and which devices supply these targets?,lbl/cborg-coder,SELECT ?sp ?equip WHERE { ?sp rdf:type/rdfs:subClassOf* brick:Zone_Air_Temperature_Setpoint . ?equip brick:hasPoint ?sp },"PREFIX brick: <https://brickschema.org/schema/1.1/Brick#>
PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>

SELECT ?zone ?zoneLabel ?temp ?device ?deviceLabel WHERE {
  ?zone a brick:Zone .
  OPTIONAL { ?zone rdfs:label ?zoneLabel . }
  ?setpoint a brick:Temperature_Setpoint .
  ?setpoint brick:hasLocation ?zone .
  ?setpoint brick:hasValue ?temp .
  OPTIONAL {
    ?device a brick:HVAC_Equipment .
    ?device brick:hasPoint ?setpoint .
    OPTIONAL { ?device rdfs:label ?deviceLabel . }
  }
}
ORDER BY ?zone",True,False,False,221,2,0,5,0.5714285714285714,0.0,0.0,0.0,False,205,747,952
MORTAR_002,,,Which equipment controls the temperature settings for building zones?,lbl/cborg-coder,SELECT ?sp ?equip WHERE { ?sp rdf:type/rdfs:subClassOf* brick:Zone_Air_Temperature_Setpoint . ?equip brick:hasPoint ?sp },"PREFIX brick: <https://brickschema.org/schema/1.1/Brick#>
SELECT DISTINCT ?equipment WHERE {
  ?zone a brick:Zone .
  ?equipment brick:controls ?zone .
  ?equipment brick:hasPoint ?point .
  ?point a brick:Temperature_Setpoint .
}",True,False,False,221,2,0,1,0.6666666666666666,0.0,0.0,0.0,True,200,357,557
MORTAR_003,,,Find all equipment and its points that are Supply Air Temperature Sensors,lbl/cborg-coder,SELECT ?sp ?equip WHERE { ?sp rdf:type/rdfs:subClassOf* brick:Supply_Air_Temperature_Sensor . ?equip brick:hasPoint ?sp . },"PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX rdfs: <http://www.w3.org/2000/01/rdf-schema#>
PREFIX brick: <https://brickschema.org/schema/1.3/Brick#>

SELECT ?equipment ?point WHERE {
  ?equipment a brick:Equipment .
  ?equipment brick:hasPoint ?point .
  ?point a brick:Supply_Air_Temperature_Sensor .
}",True,False,False,102,2,0,2,1.0,0.0,0.0,0.0,False,202,370,572
MORTAR_003,,,What equipment has sensors for Supply air temperature and what are they?,lbl/cborg-coder,SELECT ?sp ?equip WHERE { ?sp rdf:type/rdfs:subClassOf* brick:Supply_Air_Temperature_Sensor . ?equip brick:hasPoint ?sp . },"PREFIX rdf: <http://www.w3.org/1999/02/22-rdf-syntax-ns#>
PREFIX brick: <https://brickschema.org/schema/1.3/Brick#>

SELECT ?equipment ?equipmentLabel ?sensor ?sensorLabel
WHERE {
  ?equipment rdf:type brick:Equipment .
  ?equipment brick:hasPoint ?sensor .
  ?sensor rdf:type brick:Supply_Air_Temperature_Sensor .
  OPTIONAL { ?equipment rdfs:label ?equipmentLabel . }
  OPTIONAL { ?sensor rdfs:label ?sensorLabel . }
}
ORDER BY ?equipment",True,False,False,102,2,0,4,0.6666666666666666,0.0,0.0,0.0,False,203,392,595
